sr.
presidente
miro
teixeira
deputado
ordem
v.exa
aqui
orador
revisao
porque
deputados
...
ser
projeto
votacao
entao
pode
vamos
questao
camara
plenario
sobre
todos
agora
votar
materia
lei
sessao
assim
hoje
vai
comissao
sim
casa
pdt-rj
obrigado
fazer
momento
emenda
discussao
acordo
vou
mesa
governo
contra
requerimento
dia
eduardo
quero
constituicao
qualquer
caso
senado
federal
dizer
ter
sendo
acho
brasil
rede-rj
voto
pdt
neste
processo
tempo
art
relator
arlindo
prometo
chinaglia
ainda
penso
poder
pauta
favor
ai
claro
medida
v.exa.
rio_de_janeiro
bem
apenas
palavra
bloco/pdt-rj
texto
peco
outros
provisoria
lider
pec
lideres
obstrucao
estado
la
nacional
outra
maia
sempre
oliveira
sra
primeiro
srs
direito
podemos
politica
maneira
pessoas
dessa
povo
falar
cada
parlamentares
proposta
regimento
congresso
urgencia
presidencia
cunha
trabalho
existe
grande
disse
 o
outro
pouco
possibilidade
dar
tudo
melhor
debate
parlamentar
pais
decisao
bom
tribunal
todo
republica
henrique
parecer
hora
quorum
quanto
deve
-
justica
publico
porem
parte
nada
outras
carlos
coisa
quer
mandato
bancada
legislativo
rede
portanto
talvez
michel
temer
antes
anos
posicao
alves
desse
assunto
s.exa
relacao
todas
oposicao
partido
merito
vem
--
preciso
diz
destaque
nesta
desta
supremo
reuniao
ver
poderia
base
ali
haver
partidos
retirada
vezes
diante
marco
respeito
ninguem
havia
sei
sras
inocencio
nesse
partir
deixar
emendas
amanha
constitucional
parlamento
vida
projetos
vista
forma
filho
possivel
votamos
queremos
exatamente
painel
pedir
jose
codigo
ficar
fez
publica
faz
ponto
alguns
eleitoral
inclusive
estar
vez
votado
tipo
atencao
estados
feito
verdade
razao
reforma
materias
pois
menos
impressao
nessa
nominal
absolutamente
brasileiro
rodrigo
prazo
companheiros
discutir
boa
fato
vota
podera
trabalhos
microfone
iniciativa
mundo
exemplo
mesma
disso
palmas
maior
cumprimento
fica
maioria
segundo
podem
dinheiro
coisas
presenca
nome
geral
sido
algumas
comissoes
historia
sabe
deste
seguranca
ministerio
seguinte
ontem
medidas
situacao
primeira
executivo
devemos
algo
leis
deputada
regimental
propria
falando
alguma
nenhum
toda
havera
palavras
sessim
simao
votada
possa
sistema
sentido
daqui
presidenta
tribuna
trata
contrario
preocupacao
faco
fazendo
gostaria
novo
desde
senador
muitas
redacao
rose
problema
realmente
exa
simplesmente
duvida
muitos
pura
alias
lado
paulo
especial
especialmente
pessoa
semana
discurso
ano
freitas
alem
crime
ministro
numero
conjunto
destaques
populacao
repente
parece
ss
deliberacao
saude
expressao
aprovacao
provisorias
horas
chegar
proprio
v.
tao
politico
saber
responsabilidade
fim
precisa
posso
grave
repito
luta
joao
sugestao
recurso
complementar
epoca
lideranca
servidores
verificacao
lugar
sarney
quiser
interesse
dever
agradeco
alguem
apoio
necessidade
bonifacio
andrada
orcamento
entendimento
dizendo
extraordinaria
ideia
comecar
dias
creio
aglutinativa
pedido
dois
oportunidade
nova
querem
defesa
substitutivo
item
interpretacao
brasileira
tema
informacao
direitos
 . 
ambiente
penal
veto
possamos
autor
muita
vao
internet
mim
duas
passou
cpi
homenagem
pratica
trabalhadores
algum
momentos
conhecimento
logo
contas
resposta
desses
orientacao
imagino
sob
minutos
termos
havendo
veio
rigor
sessoes
votarmos
votando
recursos
resolucao
nenhuma
criar
decreto
votos
embora
arolde
deveria
acao
fala
solucao
publicos
ato
ouvi
manifestacao
artigo
tramitacao
meio
seguida
previdencia
exclusivamente
modo
final
policia
durante
retirar
tentar
feita
continuar
brasileiros
democracia
aprovada
concordo
lula
caminho
aprovado
antonio
passa
turno
apelo
pt
sr
relevante
rj
eleicao
permitir
disposicao
registro
parabens
razoes
fiz
politicos
debates
conta
encaminhar
acredito
tendo
leitura
bloco
manha
cidadaos
aprovar
dr.
pena
onde
cidadao
opiniao
certo
tanto
necessario
enquanto
certeza
trata-se
dispositivo
esclarecimento
nobre
poderiamos
fernando
passando
torno
ler
votacoes
poderemos
entendo
v.exas
deu
apresentar
estara
risco
procedimento
acaba
compromisso
dentro
falta
dessas
digo
aposentados
organizacao
exame
frente
absoluta
acontece
manter
faca
ouvir
demais
lista
luiz
criacao
senao
municipios
precisamos
certa
bloco/pros-rj
faria
neves
membros
interno
decidir
salario
daqueles
dificuldade
anterior
corrupcao
preferencia
comunicacao
grandes
civil
galerias
usar
servico
quais
faze-lo
campanha
votaremos
judiciario
trabalhar
cabe
tarde
importante
mista
vir
regime
devem
trazer
acabou
principal
quase
poderes
direcao
condicoes
arnaldo
permite
urgentissima
estaremos
aumento
existem
chegou
tres
passar
util
inquerito
responder
questoes
conversao
legislativa
causa
resolver
empresas
fizemos
minimo
colocar
resultado
constituinte
proxima
imprensa
ca
exercicio
vejo
acabar
minuto
roberto
pros-rj
parece-me
discutindo
manato
comeca
senadores
fatos
encaminhamento
queria
principio
encerrar
examinar
passado
uniao
administracao
encerramento
percebo
psdb
empresa
periodo
objetivo
inciso
fundo
pessoal
relatorio
vontade
entrar
dado
vi
qualidade
acontecer
considero
funcao
dai
simples
aecio
paises
enorme
oficio
sequer
levar
natureza
observacao
mal
ideias
conselho
pmdb
acesso
sociedade
mandatos
segunda
devido
presente
aldo
seguramente
garotinho
instrumento
intervencao
ficou
lamentavelmente
magalhaes
superior
afinal
noite
eleicoes
social
assinaturas
tal
comeco
consenso
erro
paralela
informacoes
ir
olhar
falou
voltar
naquele
presentes
entender
entidades
convocacao
fique
tentando
data
deliberar
interesses
espero
rebelo
mao
memoria
orcamentaria
naquela
diretora
familia
embaraco
intersticio
imposto
objeto
democratica
longo
normalmente
atual
garantir
unico
chamada
especie
pausa
alteracao
ribeiro
jamais
aconteceu
apos
pedi
jornal
receber
uso
inconstitucionalidade
crise
atras
aberto
querendo
diferente
brizola
posicoes
